state,state_name,district,uncontested,pct,representative,party,WARP,WAR,WAR_lower,WAR_upper
MD,Maryland,2,0,0.595401143,"John ""Johnny O"" Olszewski Jr.",DEM,6.709999999999994,4.58566,-11.004396000000002,20.292759999999983
MD,Maryland,3,0,0.610211748,Sarah Elfreth,DEM,0.060000000000003995,-1.768863,-16.095787,12.753485999999995
MD,Maryland,4,0,0.887228291,Glenn F. Ivey,DEM,0,9.628829999999999,2.218034999999998,18.209174
MD,Maryland,5,0,0.679157767,Steny Hoyer,DEM,0,4.763979999999998,-7.8383389999999995,18.047622999999994
MD,Maryland,6,0,0.531687611,April McClain Delaney,DEM,12.11,0.010459399999999999,-15.782663,15.808821999999997
MD,Maryland,7,0,0.823812657,Kweisi Mfume,DEM,0,-0.22269999999999998,-9.102369000000001,9.608887999999997
MD,Maryland,8,0,0.789628624,Jamie Raskin,DEM,0,1.522454,-8.659476999999997,12.43699199999999
MA,Massachusetts,1,1,1,Richard E. Neal,DEM,0.5900000000000011,0.759691,-14.140101,15.70473699999999
MA,Massachusetts,2,1,1,James P. McGovern,DEM,0,1.607738999999998,-12.037808000000002,15.986230999999998
MA,Massachusetts,3,1,1,Lori Loureiro Trahan,DEM,0.070000000000003,-0.24135099999999998,-14.707011,14.228138999999992
MA,Massachusetts,4,1,1,Jake Auchincloss,DEM,0.060000000000003995,-5.490189999999999,-20.161009999999997,9.365029999999997
MA,Massachusetts,5,1,1,Katherine M. Clark,DEM,0,1.6773420000000001,-10.140813000000003,14.350933999999999
MA,Massachusetts,6,1,1,Seth Moulton,DEM,0.060000000000003995,6.39059,-7.298904000000002,20.62032999999998
MA,Massachusetts,7,1,1,Ayanna S. Pressley,DEM,0,3.3520999999999983,-5.594949,13.387907999999998
MA,Massachusetts,8,0,0.70580477,Stephen F. Lynch,DEM,0.190000000000001,17.214689999999997,3.923604999999998,31.33440999999998
MA,Massachusetts,9,0,0.565180717,Bill Keating,DEM,1.71,3.27927,-10.967062,17.921339999999987
MI,Michigan,1,0,0.390623077,Jack Bergman,REP,0.029999999999996002,-2.275499999999998,-15.630505,11.653992999999991
MI,Michigan,2,0,0.32729384500000003,John Moolenaar,REP,0,1.118193,-12.097283000000001,14.420518
MI,Michigan,3,0,0.550747078,Hillary Scholten,DEM,11.140000000000004,2.1633400000000003,-12.540287,16.925548999999993
MI,Michigan,4,0,0.440533963,Bill Huizenga,REP,11.130000000000008,3.86721,-10.623731,18.600658999999972
MI,Michigan,5,0,0.332795535,Tim Walberg,REP,0,-0.0258644,-12.931489,13.491164999999993
MI,Michigan,6,0,0.639266063,Debbie Dingell,DEM,0.019999999999997,2.52791,-11.107262,16.310744
MI,Michigan,7,0,0.480806355,Tom Barrett,REP,2.890000000000003,-0.5669259999999999,-15.815093999999998,14.478281999999973
MI,Michigan,8,0,0.534626985,Kristen McDonald Rivet,DEM,17.849999999999998,1.732239,-13.671490000000002,17.404465999999996
MI,Michigan,9,0,0.306475481,Lisa McClain,REP,0,0.1242151,-12.396325,13.741171
MI,Michigan,10,0,0.4681091,John James,REP,19.089999999999996,2.1040099999999997,-13.946066000000002,18.221995999999997
MI,Michigan,11,0,0.595100089,Haley Stevens,DEM,0.370000000000003,0.882658,-13.125141,15.360191999999998
MI,Michigan,12,0,0.732567285,Rashida Tlaib,DEM,0,-0.9500190000000001,-12.122436,10.966612999999999
MI,Michigan,13,0,0.736684406,Shri Thanedar,DEM,0,0.933225,-11.273812,14.101591999999982
MN,Minnesota,1,0,0.414453597,Brad Finstad,REP,3.8599999999999968,0.910072,-13.583590000000001,15.844599999999998
MN,Minnesota,2,0,0.568892806,Angie Craig,DEM,20.309999999999995,4.73304,-10.284791000000002,19.77459699999998
MN,Minnesota,3,0,0.584968196,Kelly Morrison,DEM,0.409999999999999,-2.6016399999999997,-16.806549,12.425530999999996
MN,Minnesota,4,0,0.673664059,Betty McCollum,DEM,0,-2.87228,-14.968662000000002,10.556543999999995
MN,Minnesota,5,0,0.751747154,Ilhan Omar,DEM,0,-8.671850000000001,-18.656002,2.1424869999999983
MN,Minnesota,6,0,0.374667914,Tom Emmer,REP,0.190000000000001,-1.568528,-15.009215000000001,13.049098999999984
MN,Minnesota,7,0,0.294759753,Michelle Fischbach,REP,0,1.380033,-10.695976000000002,14.285233999999999
MN,Minnesota,8,0,0.419550736,Pete Stauber,REP,4.499999999999993,1.338947999999998,-12.841502000000002,16.43862499999999
MS,Mississippi,1,0,0.301908294,Trent Kelly,REP,0,4.89109,-7.454557,18.02879699999999
MS,Mississippi,2,0,0.620151931,Bennie G. Thompson,DEM,0.029999999999996002,-7.45451,-20.67743,7.119042999999996
MS,Mississippi,3,1,0,Michael Guest,REP,0.019999999999997,7.83557,-5.163317000000004,21.35884
MS,Mississippi,4,0,0.260501399,Mike Ezell,REP,0,5.783879999999998,-6.119413,18.315834999999993
MO,Missouri,1,0,0.805176609,Wesley Bell,DEM,0,5.34967,-5.335815,17.405838999999997
MO,Missouri,2,0,0.438161252,Ann Wagner,REP,3.1399999999999975,-0.837668,-15.040453000000001,13.631397999999988
MO,Missouri,3,0,0.365373254,Bob Onder,REP,0.029999999999996002,-1.469801,-15.714018999999999,13.464753999999996
MO,Missouri,4,0,0.270912937,Mark Alford,REP,0,1.5776869999999998,-10.313176000000002,13.966033999999986
MO,Missouri,5,0,0.623018977,Emanuel Cleaver II,DEM,0.019999999999997,-3.4489,-17.060557000000003,10.85150399999999
MO,Missouri,6,0,0.275796062,Sam Graves,REP,0,3.44344,-7.975145,15.784138999999996
MO,Missouri,7,0,0.268571159,Eric Burlison,REP,0,0.620013,-11.014353,12.827645999999998
MO,Missouri,8,0,0.222555016,Jason Smith,REP,0,3.91578,-6.7072199999999995,15.602640999999991
MT,Montana,1,0,0.460382566,Ryan K. Zinke,REP,4.439999999999999,-3.41268,-18.837133,11.948014999999998
MT,Montana,2,0,0.340100528,Troy Downing,REP,0.009999999999998,-1.9883350000000002,-16.152158999999997,12.736312999999994
NE,Nebraska,1,0,0.398959165,Mike Flood,REP,1.81,2.3953800000000003,-12.034687000000003,17.059187999999992
NE,Nebraska,2,0,0.490734883,Don Bacon,REP,34.9,6.17987,-9.465823,21.407209999999992
NE,Nebraska,3,0,0.195816599,Adrian Smith,REP,0,5.6290999999999976,-4.086759,16.373268999999997
NV,Nevada,1,0,0.538896111,Dina Titus,DEM,4.830000000000001,-2.73594,-17.294082000000003,12.45928099999999
NV,Nevada,2,1,0,Mark E. Amodei,REP,0.5299999999999969,3.454899999999998,-10.55442,17.829671999999995
NV,Nevada,3,0,0.513722247,Susie Lee,DEM,18.269999999999996,1.3459560000000002,-13.031164,15.927280999999983
NV,Nevada,4,0,0.541588361,Steven Horsford,DEM,12.989999999999991,-0.059992300000000005,-14.599164000000004,14.962656999999997
NH,New Hampshire,1,0,0.540346046,Chris Pappas,DEM,23.640000000000004,2.68016,-12.265758,17.675119999999993
NH,New Hampshire,2,0,0.529829691,Maggie Goodlander,DEM,7.099999999999995,-0.727973,-15.858823000000003,14.8046
NJ,New Jersey,1,0,0.591192476,Donald Norcross,DEM,0.080000000000002,-5.0477300000000005,-18.706900000000005,9.140622999999998
